I Agree to participate in the research project under the conditions described above,"The name of your institution
","The name of your program of study
",Your current class level is,Your gender,Your current age,Living with family?,Are you happy with your academic  Condition?,Your CGPA ,Are you addicted to any drugs?,Are you in a relationship?,  Did you have a recent breakup?  ,  How often do you conflict with your friend?  ,  Do you have financial problem in your family? ,  Violence in family?  ,  Have you ever been bullied  ,   Have you ever been sexually harassed or abused?  ,How many hours do you spend on social media?  ,"1. I found it hard to wind down
??? ??????? ?? ???????????? ????? ?? ????????? ???????? ???? ??? ???? ???? ???? ???","2. I tended to over-react to situations 
???? ????? ??????? ??????????? ???????? ???????????? ???? ??????? ???","3 .I felt that I was using a lot of nervous energy 
???? ??? ??? ?? ??? ??? ???? ??????? ???? ?????","4.  I found myself getting agitated 
??? ????? ????? ?? ??? ??? ?????? ???? ??????? ","5.  I found it difficult to relax 
???? ??? ??? ???? ???? ???? ??","6.  I was intolerant of anything that kept me from getting on with what I was doing 
???? ???? ???? ??? ??? ?? ??? ?????? ???? ???? ????? ????","7.  I felt that I was rather touchy 
??? ????? ????? ??? ??????? ??? ?????? ???","1. _____ Extraverted, enthusiastic.","2. _____ Critical, quarrelsome.","3. _____ Dependable, self-disciplined.","4. _____ Anxious, easily upset.","5. _____ Open to new experiences, complex.","6. _____ Reserved, quiet.","7. _____ Sympathetic, warm.","8. _____ Disorganized, careless.","9. _____ Calm, emotionally stable","10. _____ Conventional, uncreative."
"Yes, I agree to participate,",CUETu,Architecture ,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,Yes,No,Sometimes,No,Never,Yes,No,> 3 Hours,2,2,2,2,2,3,3,4,3,5,5,5,5,5,5,4,4
"Yes, I agree to participate,",CUET,EEE,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,No,Sometimes,No,Often,Yes,No,1-3 Hours,3,1,3,1,1,3,3,5,4,7,7,4,6,7,1,1,5
"Yes, I agree to participate,",East Delta University ,CSE,Junior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,Yes,Never occurs,No,Rarely,No,No,1-3 Hours,1,1,1,3,2,1,2,5,1,4,4,7,7,7,5,6,5
"Yes, I agree to participate,",East delta University ,Bsc in EEE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Never,Yes,No,1-3 Hours,1,2,3,3,1,3,1,7,4,5,7,7,5,4,4,5,4
"Yes, I agree to participate,",CUET,B.Sc,Senior (Undergrad),Male,21-25,No,No,< 3.00,Yes,No,No,Sometimes,No,Often,Yes,Maybe,1-3 Hours,1,0,1,1,1,1,3,3,2,5,5,1,6,6,1,4,5
"Yes, I agree to participate,",Yangzhou University ,Software Engineering ,Junior (Undergrad),Male,21-25,No,Yes,> 3.50,No,No,No,Sometimes,No,Never,Yes,No,> 3 Hours,2,2,1,0,0,0,2,7,2,6,3,7,6,7,2,7,1
"Yes, I agree to participate,",Uttara university ,B.Sc in CSE,Senior (Undergrad),Male,< 20,Yes,No,3.01-3.50,No,Yes,Yes,Sometimes,No,Never,No,No,1-3 Hours,0,1,0,0,0,3,3,1,1,1,1,1,1,1,1,1,2
"Yes, I agree to participate,",Uttara University,BSc In CSE,Senior (Undergrad),Male,> 25,No,No,> 3.50,No,Yes,Yes,Sometimes,Yes,Never,No,No,1-3 Hours,1,3,2,2,1,3,2,3,5,4,6,6,6,5,6,4,1
"Yes, I agree to participate,",Uttara University ,Computer Science Engineering,Senior (Undergrad),Female,21-25,Yes,No,> 3.50,No,No,No,Sometimes,No,Rarely,No,No,> 3 Hours,0,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6
"Yes, I agree to participate,",Chittagong University of Engineering & Technology,mechanical engineering,Senior (Undergrad),Female,21-25,No,No,3.01-3.50,No,No,No,Sometimes,No,Never,Yes,Maybe,1-3 Hours,1,3,2,1,1,3,3,2,1,6,7,1,7,7,1,6,2
"Yes, I agree to participate,",Islamia University College ,BBA (Professional),Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Often,Yes,No,> 3 Hours,1,1,1,1,1,2,1,3,4,6,4,5,5,5,3,3,3
"Yes, I agree to participate,",Chittagong University of Engineering and Technology ,Mechanical Engineering ,Junior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,No,1-3 Hours,1,0,2,1,1,0,0,4,4,5,5,6,7,5,2,4,4
"Yes, I agree to participate,",Chittagong University ,MBA,Graduate student,Male,> 25,Yes,No,< 3.00,No,Yes,No,Most of the time,Yes,Never,No,No,1-3 Hours,3,2,1,2,2,2,2,5,3,7,4,5,4,5,3,3,4
"Yes, I agree to participate,",Southern University Bangladesh ,Civil,Junior (Undergrad),Male,< 20,Yes,Yes,3.01-3.50,No,No,Yes,Sometimes,Yes,Rarely,Yes,No,1-3 Hours,1,0,1,3,2,1,3,6,1,2,6,6,4,3,1,6,7
"Yes, I agree to participate,",CUET,ME,Sophomore (Undergrad),Male,21-25,No,No,3.01-3.50,No,Yes,No,Sometimes,No,Never,Yes,Maybe,1-3 Hours,0,3,3,3,2,3,3,5,4,3,7,4,6,4,6,3,5
"Yes, I agree to participate,",Chittagong university of engineering and technology ,Architecture,Freshman (Undergrad),Female,21-25,No,No,< 3.00,No,Yes,No,Sometimes,Yes,Most of the time,Yes,Yes,> 3 Hours,3,3,3,3,3,3,3,5,5,5,7,4,3,6,7,1,4
"Yes, I agree to participate,",Chittagong University of engineering and technology ,Electrical and electronic engineering ,Freshman (Undergrad),Female,< 20,Yes,No,< 3.00,No,No,No,Most of the time,No,Rarely,Yes,Maybe,> 3 Hours,3,3,3,2,2,3,3,6,6,4,7,6,7,6,7,4,1
"Yes, I agree to participate,",Chittagong university of engineering and technology ,Electrical and Electronics Engineering ,Sophomore (Undergrad),Female,21-25,No,Yes,3.01-3.50,No,No,No,Never occurs,No,Never,No,Maybe,< 1 Hours,1,2,2,2,2,1,3,1,1,2,7,7,7,7,7,6,3
"Yes, I agree to participate,",Chittagong University ,LLB,Junior (Undergrad),Female,21-25,No,Yes,3.01-3.50,No,Yes,No,Never occurs,Yes,Rarely,Yes,Yes,> 3 Hours,2,0,0,2,0,1,3,2,2,4,2,4,2,5,4,2,5
"Yes, I agree to participate,",City University,B.sc in Mechanical Engineering,Graduate student,Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,No,No,> 3 Hours,2,3,2,3,2,3,3,7,5,5,6,6,5,6,2,5,2
"Yes, I agree to participate,",East Delta University ,Bsc Engineering in EEE,Senior (Undergrad),Male,21-25,No,Yes,< 3.00,No,No,No,Never occurs,Yes,Rarely,No,No,> 3 Hours,0,0,1,1,2,2,1,7,2,4,4,6,3,5,3,6,2
"Yes, I agree to participate,",CUET ,Mechatronics & Industrial Engineering ,Sophomore (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,Yes,Most of the time,Yes,Rarely,Yes,Yes,1-3 Hours,3,3,3,2,3,3,3,7,6,7,7,7,1,6,3,6,1
"Yes, I agree to participate,",Bangladesh University of Engineering and Technology ,Computer Science and Engineering ,Sophomore (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,No,No,1-3 Hours,1,1,2,3,2,2,1,2,4,3,6,2,6,4,5,2,5
"Yes, I agree to participate,",Chittagong University of Engineering and Technology,Department of Mechatronics and Industrial Engineering ,Freshman (Undergrad),Male,21-25,No,No,3.01-3.50,No,No,No,Most of the time,Yes,Never,Yes,No,1-3 Hours,1,3,3,3,3,3,0,1,5,3,7,7,6,4,5,7,7
"Yes, I agree to participate,",Chittagong University Of Engineering And Technology ,EEE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Often,No,No,1-3 Hours,2,1,1,3,3,3,2,5,3,5,4,4,5,3,5,3,5
"Yes, I agree to participate,",East Delta University ,BSc in EEE,Graduate student,Female,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Never,Yes,No,1-3 Hours,3,0,3,1,1,3,0,5,5,4,6,5,5,5,2,5,2
"Yes, I agree to participate,",East Delta University ,EEE,Freshman (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,Yes,No,1-3 Hours,2,0,0,0,0,0,0,7,2,1,1,5,5,6,7,4,3
"Yes, I agree to participate,",Chittagong University of Engineering and technology ,Architecture ,Freshman (Undergrad),Female,21-25,No,Yes,3.01-3.50,No,No,No,Never occurs,No,Never,Yes,Yes,> 3 Hours,2,1,0,0,1,3,0,7,4,5,5,1,7,7,5,6,1
"Yes, I agree to participate,",Cuet,Urp,Sophomore (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Often,No,No,1-3 Hours,1,1,1,1,1,1,0,3,4,5,3,3,6,7,5,5,3
"Yes, I agree to participate,",Bepza public school and College ,Accounts ,Senior (Undergrad),Male,< 20,Yes,Yes,> 3.50,No,No,No,Most of the time,No,Never,No,No,> 3 Hours,2,1,1,1,2,3,2,5,3,5,3,6,5,5,4,6,5
"Yes, I agree to participate,","Govt. City clg,  Chittagong ",Islamic history,Senior (Undergrad),Male,21-25,Yes,Yes,< 3.00,No,No,No,Sometimes,Yes,Often,Yes,No,1-3 Hours,0,1,0,1,1,2,1,3,2,5,3,5,4,5,3,4,5
"Yes, I agree to participate,",East Delta University ,BA in English ,Junior (Undergrad),Male,< 20,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,No,No,> 3 Hours,3,3,2,3,3,3,2,7,1,7,7,7,7,7,3,7,1
"Yes, I agree to participate,",Chattogram Bandar College ,Acquire knowledge ,Junior (Undergrad),Male,< 20,Yes,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Often,No,No,> 3 Hours,0,3,3,3,1,3,3,5,1,7,5,7,7,6,1,7,1
"Yes, I agree to participate,",Chittagong University of Engineering and Technology ,Department of civil Engineering ,Freshman (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,No,Sometimes,No,Rarely,Yes,Yes,> 3 Hours,3,1,2,3,3,3,2,6,2,7,7,2,7,4,7,1,1
"Yes, I agree to participate,",Chittagong university of engineering and technology ,Civil engineering ,Senior (Undergrad),Female,21-25,No,No,3.01-3.50,No,No,No,Never occurs,No,Never,No,Yes,1-3 Hours,2,0,3,3,3,0,3,7,1,5,4,5,1,4,5,6,4
"Yes, I agree to participate,","Govt. College  of Commerce, ctg",Bbs,Freshman (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,Yes,Yes,Sometimes,Yes,Most of the time,No,No,1-3 Hours,2,3,0,2,1,3,0,3,4,2,4,5,3,5,2,4,1
"Yes, I agree to participate,",Chittagong University of Engineering and Technology ,Civil Engineering ,Sophomore (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Never,No,No,> 3 Hours,2,2,2,1,2,0,0,2,2,4,6,4,7,4,2,5,7
"Yes, I agree to participate,",IIUC,EEE,Graduate student,Male,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,No,Rarely,No,No,> 3 Hours,2,1,1,1,1,1,0,1,1,6,6,6,6,6,6,6,1
"Yes, I agree to participate,",East Delta University ,CSE,Senior (Undergrad),Female,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,No,Never,Yes,Yes,> 3 Hours,2,1,3,3,2,3,3,4,4,4,3,4,3,3,4,4,3
"Yes, I agree to participate,",University of Dhaka,BSc in Physics ,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,Yes,No,Never occurs,No,Never,Yes,No,> 3 Hours,0,0,0,0,0,1,1,5,2,1,1,7,3,4,5,6,1
"Yes, I agree to participate,",Dhaka University ,Bachelor ,Senior (Undergrad),Male,> 25,No,No,< 3.00,No,No,No,Never occurs,No,Never,No,No,> 3 Hours,0,0,3,3,0,3,0,4,1,2,5,7,7,6,7,3,7
"Yes, I agree to participate,",University of Dhaka ,Physics ,Senior (Undergrad),Prefer not to say,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Often,Yes,Yes,> 3 Hours,2,1,3,2,2,3,2,6,2,4,4,7,2,5,2,5,2
"Yes, I agree to participate,",University of Dhaka,BSC in Honours,Junior (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,No,Sometimes,No,Never,No,No,> 3 Hours,2,2,2,2,2,3,2,5,3,5,6,5,4,6,2,2,4
"Yes, I agree to participate,",Dhaka University,physics,Sophomore (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,Yes,Rarely,Yes,No,1-3 Hours,1,1,1,1,0,3,0,4,2,7,1,5,6,5,2,6,1
"Yes, I agree to participate,",University  of  Dhaka ,BSc in Physics,Sophomore (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,No,Never occurs,No,Never,No,No,1-3 Hours,1,1,0,0,0,0,0,1,1,1,1,4,6,7,7,7,7
"Yes, I agree to participate,",Dhaka university ,Physics ,Sophomore (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,Yes,No,< 1 Hours,0,0,0,1,0,0,0,1,2,2,1,7,7,5,7,7,2
"Yes, I agree to participate,",University of Dhaka ,BS Honours ,Senior (Undergrad),Male,> 25,No,No,< 3.00,No,No,No,Sometimes,No,Rarely,Yes,No,> 3 Hours,1,2,1,3,3,3,3,4,1,4,4,4,4,4,4,4,4
"Yes, I agree to participate,",University of Dhaka ,Honours ,Senior (Undergrad),Male,21-25,No,No,< 3.00,No,No,No,Never occurs,No,Never,No,No,> 3 Hours,1,1,0,1,1,2,0,2,2,6,2,5,7,5,5,6,2
"Yes, I agree to participate,",University of Dhaka ,Physics ,Junior (Undergrad),Female,21-25,Yes,No,> 3.50,No,No,No,Never occurs,No,Rarely,Yes,Maybe,1-3 Hours,2,1,2,2,2,3,2,3,1,5,5,5,4,5,3,4,4
"Yes, I agree to participate,",University of Dhaka ,Bsc. Hons. in Physics ,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Never occurs,No,Often,Yes,No,< 1 Hours,2,3,2,0,2,3,0,1,2,6,7,5,7,6,7,1,6
"Yes, I agree to participate,",University of Dhaka,Physics ,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,Yes,Yes,No,Never occurs,Yes,Rarely,Yes,Yes,> 3 Hours,1,2,1,1,1,0,2,4,2,6,6,5,1,6,3,2,2
"Yes, I agree to participate,",CUET,Mechanical Engineering,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,No,Never,Yes,Yes,1-3 Hours,1,2,2,1,1,2,0,3,2,5,2,4,6,5,6,4,5
"Yes, I agree to participate,",CUET,Engineering,Sophomore (Undergrad),Female,21-25,Yes,Yes,3.01-3.50,No,No,No,Never occurs,No,Rarely,Yes,Yes,> 3 Hours,0,0,0,2,1,3,3,4,3,7,7,5,7,7,1,7,3
"Yes, I agree to participate,",University of Dhaka,Physics,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,No,Yes,> 3 Hours,0,0,0,0,0,0,0,6,2,6,1,5,2,7,5,7,3
"Yes, I agree to participate,",East Delta University ,B.Sc in EEE,Senior (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,Yes,No,1-3 Hours,0,3,2,2,2,3,3,5,1,5,6,7,6,7,1,5,3
"Yes, I agree to participate,",Edu,Mba,Graduate student,Male,> 25,Yes,Yes,3.01-3.50,No,No,No,Never occurs,No,Never,No,No,> 3 Hours,0,0,0,1,0,1,0,4,2,4,1,7,5,7,3,7,2
"Yes, I agree to participate,",University of dhaka,Bsc in physics,Senior (Undergrad),Male,21-25,No,No,< 3.00,No,Yes,No,Never occurs,No,Never,Yes,Yes,> 3 Hours,1,0,1,0,0,2,2,4,2,4,5,3,4,6,2,4,3
"Yes, I agree to participate,",University of Dhaka ,BS honours in physics ,Junior (Undergrad),Female,21-25,No,No,< 3.00,No,Yes,No,Sometimes,Yes,Rarely,No,Yes,> 3 Hours,1,2,2,1,2,3,3,1,5,6,6,1,7,7,2,1,7
"Yes, I agree to participate,",Dhaka University ,Physics ,Senior (Undergrad),Male,21-25,Yes,No,> 3.50,Yes,Yes,No,Sometimes,No,Never,No,No,1-3 Hours,3,2,2,3,3,1,1,2,3,4,5,4,5,6,4,2,6
"Yes, I agree to participate,",University of Dhaka,Physics,Sophomore (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Never occurs,No,Never,No,No,1-3 Hours,0,0,0,0,0,1,1,6,1,6,1,6,5,7,1,7,4
"Yes, I agree to participate,",University of Dhaka,BSc. in Physics,Sophomore (Undergrad),Male,21-25,No,No,3.01-3.50,Yes,No,Yes,Sometimes,No,Never,Yes,No,> 3 Hours,1,2,2,1,1,1,3,2,2,3,5,3,7,7,7,2,5
"Yes, I agree to participate,",University of Dhaka,Physics ,Sophomore (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,Yes,Rarely,No,No,1-3 Hours,1,1,1,1,0,2,2,1,1,2,3,2,2,1,6,2,2
"Yes, I agree to participate,",DHAKA UNIVERSITY ,Honours ,Sophomore (Undergrad),Male,21-25,No,Yes,> 3.50,No,No,No,Sometimes,Yes,Never,Yes,No,1-3 Hours,1,0,1,2,1,2,1,6,2,5,4,5,1,6,5,5,2
"Yes, I agree to participate,",University of Dhaka ,B.Sc,Sophomore (Undergrad),Female,21-25,No,No,3.01-3.50,No,Yes,No,Never occurs,Yes,Rarely,Yes,Yes,> 3 Hours,1,2,2,1,1,2,3,4,5,2,7,6,3,6,4,2,7
"Yes, I agree to participate,",University of Dhaka ,Physics ,Sophomore (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,No,1-3 Hours,2,2,3,3,3,3,3,4,2,4,5,4,5,4,6,4,5
"Yes, I agree to participate,",Dhaka University ,Physics ,Sophomore (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,No,Rarely,Yes,No,> 3 Hours,2,2,1,2,1,3,1,6,5,5,4,5,2,5,5,6,3
"Yes, I agree to participate,",Khalida Akther Asha,physics,Junior (Undergrad),Female,21-25,No,Yes,< 3.00,No,No,No,Sometimes,Yes,Rarely,No,No,1-3 Hours,2,2,3,3,3,3,3,1,3,1,1,4,5,2,5,2,4
"Yes, I agree to participate,",Dhaka University ,Physics ,Sophomore (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Never occurs,No,Rarely,Yes,No,> 3 Hours,1,2,2,3,3,2,3,2,6,4,7,6,5,5,2,6,7
"Yes, I agree to participate,",Port City Internation University,B.A in English,Graduate student,Male,21-25,Yes,Yes,< 3.00,No,No,No,Never occurs,No,Rarely,No,No,< 1 Hours,0,0,0,0,0,3,0,5,1,7,1,5,2,2,1,1,1
"Yes, I agree to participate,",University of Dhaka ,Physics ,Junior (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,No,Sometimes,Yes,Rarely,Yes,Maybe,1-3 Hours,2,1,3,3,2,1,1,4,6,2,5,5,2,6,6,5,5
"Yes, I agree to participate,",Lalmatia Mohila College ,BSS honours ,Graduate student,Female,> 25,Yes,No,< 3.00,No,No,No,Never occurs,No,Never,No,Yes,1-3 Hours,0,0,0,0,0,0,0,7,4,7,1,4,1,1,1,4,1
"Yes, I agree to participate,",C.U.E.T.,C.S.E.,Graduate student,Male,21-25,Yes,No,< 3.00,No,No,No,Sometimes,No,Rarely,No,Yes,1-3 Hours,2,1,2,2,2,2,2,4,5,6,6,6,6,6,2,6,2
"Yes, I agree to participate,",University of Dhaka ,Physics ,Sophomore (Undergrad),Male,21-25,No,No,< 3.00,No,No,No,Sometimes,Yes,Most of the time,Yes,No,1-3 Hours,1,1,2,2,2,3,2,3,2,4,5,4,5,6,2,4,6
"Yes, I agree to participate,",DU,LLB,Senior (Undergrad),Male,21-25,Yes,No,< 3.00,No,Yes,No,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,2,1,2,2,2,2,2,7,4,7,1,7,7,7,1,7,1
"Yes, I agree to participate,",University of Dhaka ,LLB (Hons.),Senior (Undergrad),Male,21-25,No,No,< 3.00,No,No,Yes,Sometimes,Yes,Rarely,Yes,No,1-3 Hours,1,2,1,1,1,2,1,6,3,6,2,5,3,6,1,5,3
"Yes, I agree to participate,",Dhaka University ,Law,Senior (Undergrad),Female,21-25,No,No,< 3.00,No,Yes,Yes,Sometimes,Yes,Most of the time,Yes,Yes,> 3 Hours,3,3,3,3,3,2,3,2,6,5,7,7,4,7,3,1,4
"Yes, I agree to participate,",University of Dhaka,Physics ,Junior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,No,< 1 Hours,2,3,3,3,3,3,0,2,1,4,3,1,6,4,6,3,7
"Yes, I agree to participate,",Dhaka University ,PHYSICS ,Graduate student,Female,21-25,No,No,3.01-3.50,No,No,No,Sometimes,Yes,Often,No,No,< 1 Hours,1,2,2,1,2,1,1,4,3,3,4,4,4,5,4,6,4
"Yes, I agree to participate,",BUET,Chemical engineering ,Junior (Undergrad),Male,21-25,No,No,3.01-3.50,No,Yes,No,Never occurs,No,Most of the time,Yes,No,1-3 Hours,3,1,3,2,3,3,3,3,1,1,2,7,6,7,5,6,3
"Yes, I agree to participate,",University of Dhaka,LLB honours ,Senior (Undergrad),Female,21-25,No,Yes,3.01-3.50,No,Yes,No,Sometimes,No,Rarely,Yes,Yes,1-3 Hours,3,2,2,1,3,1,2,3,6,6,6,3,3,4,1,2,6
"Yes, I agree to participate,",Dhaka University ,Depterment of Physics ,Sophomore (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,No,Sometimes,No,Never,No,No,< 1 Hours,0,1,1,1,1,2,2,4,5,3,5,2,6,5,5,2,5
"Yes, I agree to participate,",BUET,CSE,Sophomore (Undergrad),Male,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,No,No,1-3 Hours,1,2,2,2,2,3,3,2,5,6,5,5,5,5,5,4,6
"Yes, I agree to participate,",University of Dhaka ,LLB(honors),Senior (Undergrad),Male,21-25,No,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Often,No,Yes,> 3 Hours,2,1,1,1,1,2,1,1,1,5,5,4,6,5,6,2,4
"Yes, I agree to participate,",BUET,CSE ,Junior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Sometimes,Yes,Never,Yes,No,< 1 Hours,1,0,3,3,1,3,1,2,6,5,2,2,4,2,5,3,4
"Yes, I agree to participate,",Dhaka University,B.S Honors in Physics,Junior (Undergrad),Female,21-25,No,No,3.01-3.50,No,Yes,No,Sometimes,Yes,Rarely,Yes,Maybe,> 3 Hours,2,3,3,3,3,3,3,1,4,1,7,4,6,7,7,1,7
"Yes, I agree to participate,",Dhaka University,B.S Honors in Physics,Junior (Undergrad),Female,21-25,No,No,3.01-3.50,No,Yes,No,Sometimes,Yes,Rarely,Yes,Maybe,1-3 Hours,3,3,3,3,3,3,3,1,3,1,7,5,6,6,7,1,6
"Yes, I agree to participate,",Rajuk uttara model college ,Science ,Freshman (Undergrad),Female,< 20,Yes,No,> 3.50,No,No,No,Never occurs,Yes,Never,No,No,1-3 Hours,1,1,2,1,0,0,2,5,3,4,3,3,6,5,6,3,6
"Yes, I agree to participate,",University of Dhaka ,Law,Senior (Undergrad),Female,21-25,No,Yes,< 3.00,No,No,No,Never occurs,No,Rarely,No,Yes,> 3 Hours,2,0,3,2,1,0,1,5,1,5,2,3,3,7,4,6,2
"Yes, I agree to participate,",CUET,CSE,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,Yes,No,Sometimes,No,Never,No,No,> 3 Hours,2,1,2,2,2,3,3,4,4,6,6,5,6,7,5,4,5
"Yes, I agree to participate,",East Delta University ,BBA ,Senior (Undergrad),Male,> 25,Yes,No,< 3.00,No,Yes,No,Sometimes,No,Rarely,Yes,No,> 3 Hours,1,2,3,3,2,3,3,5,4,6,6,5,7,7,4,5,5
"Yes, I agree to participate,",Uttara University ,B.sc in CSE,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,Yes,No,1-3 Hours,3,1,3,1,3,0,1,1,5,7,7,4,7,7,1,5,4
"Yes, I agree to participate,",cuet,cse,Junior (Undergrad),Female,21-25,No,No,3.01-3.50,No,Yes,No,Never occurs,No,Rarely,Yes,Yes,> 3 Hours,2,1,3,3,3,3,3,4,2,6,3,6,4,4,2,6,1
"Yes, I agree to participate,",Govt.Hazi Mohammad Mohsin College Chattagram ,B.Sc honours at Department of physics ,Sophomore (Undergrad),Female,< 20,Yes,No,> 3.50,No,No,Yes,Most of the time,No,Rarely,Yes,Yes,> 3 Hours,3,2,3,3,3,2,3,5,5,6,7,6,5,4,5,5,4
"Yes, I agree to participate,",Iuc,Finance ,Graduate student,Male,21-25,Yes,No,< 3.00,No,Yes,No,Sometimes,Yes,Never,No,Yes,> 3 Hours,2,0,1,0,1,1,1,3,1,1,1,2,2,1,1,3,1
"Yes, I agree to participate,","Islamic University,Bangladesh ",Bss hons folklore studies,Junior (Undergrad),Male,21-25,No,Yes,3.01-3.50,Yes,Yes,No,Sometimes,No,Never,No,No,> 3 Hours,0,0,3,3,3,0,0,7,3,7,1,4,3,3,7,7,3
"Yes, I agree to participate,","Islamic University, Kushtia",BBA,Junior (Undergrad),Male,21-25,No,No,3.01-3.50,No,Yes,No,Never occurs,No,Rarely,No,Yes,> 3 Hours,2,2,2,3,3,3,2,2,1,4,4,7,7,3,7,7,7
"Yes, I agree to participate,",Islamic University Bangladesh,Folklore studies ,Freshman (Undergrad),Male,21-25,No,Yes,3.01-3.50,No,No,Yes,Sometimes,Yes,Rarely,Yes,No,1-3 Hours,3,0,0,3,0,1,1,4,2,6,6,6,3,5,4,6,5
"Yes, I agree to participate,",Dhaka University ,Physics ,Sophomore (Undergrad),Female,21-25,No,No,< 3.00,No,No,No,Sometimes,Yes,Rarely,Yes,Yes,> 3 Hours,1,3,3,2,2,3,1,3,2,5,6,4,7,4,3,3,3
"Yes, I agree to participate,",CUET,ETE,Senior (Undergrad),Male,21-25,Yes,Yes,3.01-3.50,No,No,No,Sometimes,Yes,Rarely,Yes,No,1-3 Hours,0,1,0,1,0,0,2,3,1,3,1,5,1,4,1,7,3
"Yes, I agree to participate,",CUET,ETE,Senior (Undergrad),Female,21-25,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Rarely,Yes,Maybe,1-3 Hours,1,2,3,3,3,3,3,5,2,5,7,5,3,7,1,4,4
"Yes, I agree to participate,",Rajuk Uttara Model College ,Ssc candidate ,Senior (Undergrad),Female,< 20,Yes,No,3.01-3.50,No,Yes,No,Never occurs,No,Never,Yes,Yes,> 3 Hours,1,1,1,2,1,1,3,7,3,6,6,7,1,7,6,2,1
"Yes, I agree to participate,",Rajuk Uttara Model College ,Science,Senior (Undergrad),Male,< 20,Yes,No,3.01-3.50,No,No,No,Sometimes,No,Never,Yes,No,> 3 Hours,2,0,2,0,2,1,1,3,3,2,5,5,1,5,4,1,5
"Yes, I agree to participate,",Leading University ,Islamic studies economic and banking ,Senior (Undergrad),Male,21-25,Yes,Yes,> 3.50,No,No,No,Never occurs,No,Never,Yes,No,> 3 Hours,2,2,2,2,2,2,2,5,2,5,7,2,2,4,2,4,3
"Yes, I agree to participate,",CUET,Mechanical Engineering,Freshman (Undergrad),Male,21-25,Yes,No,< 3.00,No,No,Yes,Never occurs,No,Never,Yes,Yes,> 3 Hours,3,3,3,3,3,3,0,4,4,1,6,5,4,4,7,1,3
